t,bssid,rssi
1727595871398,c0:25:a2:a7:2e:2b,-55
1727595871398,c0:25:a2:a7:2e:2a,-56
1727595871398,c8:a6:08:5a:fd:84,-93
1727595871399,d0:40:ef:f9:f0:9d,-95
1727595871399,60:84:bd:de:7c:60,-64
1727595871399,c8:a6:08:5a:fd:80,-92
1727595871399,c8:a6:08:5a:fd:81,-92
1727595871399,c8:a6:08:9a:b7:01,-91
1727595871399,c8:a6:08:9b:16:24,-54
1727595871399,c8:a6:08:5b:15:50,-92
1727595871399,c8:a6:08:9a:b7:00,-90
1727595871399,c8:a6:08:5b:15:51,-90
1727595871399,c0:25:a2:a9:b1:4f,-49
1727595871399,c8:a6:08:5b:16:24,-62
1727595871399,c8:a6:08:9b:15:51,-80
1727595871399,c8:a6:08:9b:15:50,-80
1727595871399,c8:a6:08:9b:16:21,-53
1727595871399,c8:a6:08:5b:16:21,-61
1727595871399,c8:a6:08:9b:16:20,-53
1727595871399,c8:a6:08:5b:16:20,-61
1727595871399,c8:a6:08:9b:15:54,-80
1727595871399,c8:a6:08:9a:b7:04,-90
1727595871399,c0:25:a2:a7:2e:1a,-72
1727595871399,c8:a6:08:5a:bc:14,-78
1727595871411,c8:a6:08:9a:fe:71,-86
1727595871411,c8:a6:08:9a:fe:70,-86
1727595871411,c8:a6:08:9a:fe:74,-86
1727595871411,84:af:ec:86:f0:70,-83
1727595871411,c8:a6:08:9a:bb:c4,-83
1727595871411,c8:a6:08:9a:bb:c1,-83
1727595871411,c8:a6:08:9a:bb:c0,-83
1727595871411,c8:a6:08:5a:bb:c0,-83
1727595871411,c8:a6:08:9b:16:04,-63
1727595871411,c8:a6:08:5b:16:04,-66
1727595871411,c8:a6:08:9b:16:01,-61
1727595871411,c8:a6:08:5b:16:01,-66
1727595871411,c8:a6:08:9b:16:00,-61
1727595871411,c8:a6:08:5b:16:00,-66
1727595871411,80:ea:96:f2:cc:77,-88
1727595871411,c8:a6:08:9a:bc:10,-76
1727595871411,c8:a6:08:5a:bb:81,-86
1727595871411,c8:a6:08:9a:bc:11,-76
1727595871411,c8:a6:08:5a:bb:80,-85
1727595871411,c8:a6:08:9a:bc:14,-76
1727595871411,c8:a6:08:5a:bc:11,-78
1727595871411,c8:a6:08:9a:bb:80,-82
1727595871411,c8:a6:08:5a:bc:10,-78
1727595871411,c8:a6:08:9a:bb:81,-82
1727595871411,60:84:bd:de:7c:67,-60
1727595871411,c8:a6:08:9a:bb:84,-82
1727595871411,c8:a6:08:5a:bb:84,-87
1727595871411,c0:25:a2:a7:2e:2b,-55
1727595871411,c0:25:a2:a7:2e:2a,-56
1727595871411,c8:a6:08:5a:fd:84,-93
1727595871411,d0:40:ef:f9:f0:9d,-95
1727595871411,60:84:bd:de:7c:60,-64
1727595871411,c8:a6:08:5a:fd:80,-92
1727595871411,c8:a6:08:5a:fd:81,-92
1727595871411,c8:a6:08:9a:b7:01,-91
1727595871411,c8:a6:08:9b:16:24,-54
1727595871411,c8:a6:08:5b:15:50,-92
1727595871411,c8:a6:08:9a:b7:00,-90
1727595871411,c8:a6:08:5b:15:51,-90
1727595871411,c0:25:a2:a9:b1:4f,-49
1727595871411,c8:a6:08:5b:16:24,-62
1727595871411,c8:a6:08:9b:15:51,-80
1727595871411,c8:a6:08:9b:15:50,-80
1727595871411,c8:a6:08:9b:16:21,-53
1727595871411,c8:a6:08:5b:16:21,-61
1727595871411,c8:a6:08:9b:16:20,-53
1727595871411,c8:a6:08:5b:16:20,-61
1727595871412,c8:a6:08:9b:15:54,-80
1727595871412,c8:a6:08:9a:b7:04,-90
1727595871412,c0:25:a2:a7:2e:1a,-72
1727595871412,c8:a6:08:5a:bc:14,-78
1727595871420,c8:a6:08:9a:fe:71,-86
1727595871420,c8:a6:08:9a:fe:70,-86
1727595871420,c8:a6:08:9a:fe:74,-86
1727595871420,84:af:ec:86:f0:70,-83
1727595871420,c8:a6:08:9a:bb:c4,-83
1727595871420,c8:a6:08:9a:bb:c1,-83
1727595871420,c8:a6:08:9a:bb:c0,-83
1727595871420,c8:a6:08:5a:bb:c0,-83
1727595871420,c8:a6:08:9b:16:04,-63
1727595871420,c8:a6:08:5b:16:04,-66
1727595871420,c8:a6:08:9b:16:01,-61
1727595871420,c8:a6:08:5b:16:01,-66
1727595871420,c8:a6:08:9b:16:00,-61
1727595871420,c8:a6:08:5b:16:00,-66
1727595871420,80:ea:96:f2:cc:77,-88
1727595871420,c8:a6:08:9a:bc:10,-76
1727595871420,c8:a6:08:5a:bb:81,-86
1727595871420,c8:a6:08:9a:bc:11,-76
1727595871420,c8:a6:08:5a:bb:80,-85
1727595871420,c8:a6:08:9a:bc:14,-76
1727595871420,c8:a6:08:5a:bc:11,-78
1727595871420,c8:a6:08:9a:bb:80,-82
1727595871420,c8:a6:08:5a:bc:10,-78
1727595871420,c8:a6:08:9a:bb:81,-82
1727595871420,60:84:bd:de:7c:67,-60
1727595871420,c8:a6:08:9a:bb:84,-82
1727595871420,c8:a6:08:5a:bb:84,-87
1727595871420,c0:25:a2:a7:2e:2b,-55
1727595871420,c0:25:a2:a7:2e:2a,-56
1727595871420,c8:a6:08:5a:fd:84,-93
1727595871420,d0:40:ef:f9:f0:9d,-95
1727595871420,60:84:bd:de:7c:60,-64
1727595871420,c8:a6:08:5a:fd:80,-92
1727595871420,c8:a6:08:5a:fd:81,-92
1727595871420,c8:a6:08:9a:b7:01,-91
1727595871420,c8:a6:08:9b:16:24,-54
1727595871420,c8:a6:08:5b:15:50,-92
1727595871420,c8:a6:08:9a:b7:00,-90
1727595871420,c8:a6:08:5b:15:51,-90
1727595871420,c0:25:a2:a9:b1:4f,-49
1727595871420,c8:a6:08:5b:16:24,-62
1727595871420,c8:a6:08:9b:15:51,-80
1727595871420,c8:a6:08:9b:15:50,-80
1727595871420,c8:a6:08:9b:16:21,-53
1727595871420,c8:a6:08:5b:16:21,-61
1727595871420,c8:a6:08:9b:16:20,-53
1727595871420,c8:a6:08:5b:16:20,-61
1727595871420,c8:a6:08:9b:15:54,-80
1727595871420,c8:a6:08:9a:b7:04,-90
1727595871420,c0:25:a2:a7:2e:1a,-72
1727595871420,c8:a6:08:5a:bc:14,-78
1727595871435,c8:a6:08:9a:fe:71,-86
1727595871435,c8:a6:08:9a:fe:70,-86
1727595871435,c8:a6:08:9a:fe:74,-86
1727595871435,84:af:ec:86:f0:70,-83
1727595871436,c8:a6:08:9a:bb:c4,-83
1727595871436,c8:a6:08:9a:bb:c1,-83
1727595871436,c8:a6:08:9a:bb:c0,-83
1727595871436,c8:a6:08:5a:bb:c0,-83
1727595871436,c8:a6:08:9b:16:04,-63
1727595871436,c8:a6:08:5b:16:04,-66
1727595871436,c8:a6:08:9b:16:01,-61
1727595871436,c8:a6:08:5b:16:01,-66
1727595871436,c8:a6:08:9b:16:00,-61
1727595871436,c8:a6:08:5b:16:00,-66
1727595871436,80:ea:96:f2:cc:77,-88
1727595871436,c8:a6:08:9a:bc:10,-76
1727595871436,c8:a6:08:5a:bb:81,-86
1727595871436,c8:a6:08:9a:bc:11,-76
1727595871436,c8:a6:08:5a:bb:80,-85
1727595871436,c8:a6:08:9a:bc:14,-76
1727595871436,c8:a6:08:5a:bc:11,-78
1727595871436,c8:a6:08:9a:bb:80,-82
1727595871436,c8:a6:08:5a:bc:10,-78
1727595871436,c8:a6:08:9a:bb:81,-82
1727595871436,60:84:bd:de:7c:67,-60
1727595871436,c8:a6:08:9a:bb:84,-82
1727595871436,c8:a6:08:5a:bb:84,-87
1727595871436,c0:25:a2:a7:2e:2b,-55
1727595871436,c0:25:a2:a7:2e:2a,-56
1727595871436,c8:a6:08:5a:fd:84,-93
1727595871436,d0:40:ef:f9:f0:9d,-95
1727595871436,60:84:bd:de:7c:60,-64
1727595871436,c8:a6:08:5a:fd:80,-92
1727595871436,c8:a6:08:5a:fd:81,-92
1727595871436,c8:a6:08:9a:b7:01,-91
1727595871436,c8:a6:08:9b:16:24,-54
1727595871436,c8:a6:08:5b:15:50,-92
1727595871436,c8:a6:08:9a:b7:00,-90
1727595871436,c8:a6:08:5b:15:51,-90
1727595871436,c0:25:a2:a9:b1:4f,-49
1727595871436,c8:a6:08:5b:16:24,-62
1727595871436,c8:a6:08:9b:15:51,-80
1727595871436,c8:a6:08:9b:15:50,-80
1727595871436,c8:a6:08:9b:16:21,-53
1727595871436,c8:a6:08:5b:16:21,-61
1727595871436,c8:a6:08:9b:16:20,-53
1727595871436,c8:a6:08:5b:16:20,-61
1727595871436,c8:a6:08:9b:15:54,-80
1727595871436,c8:a6:08:9a:b7:04,-90
1727595871436,c0:25:a2:a7:2e:1a,-72
1727595871436,c8:a6:08:5a:bc:14,-78
1727595871443,c8:a6:08:9a:fe:71,-86
1727595871443,c8:a6:08:9a:fe:70,-86
1727595871443,c8:a6:08:9a:fe:74,-86
1727595871443,84:af:ec:86:f0:70,-83
1727595871443,c8:a6:08:9a:bb:c4,-83
1727595871443,c8:a6:08:9a:bb:c1,-83
1727595871443,c8:a6:08:9a:bb:c0,-83
1727595871443,c8:a6:08:5a:bb:c0,-83
1727595871443,c8:a6:08:9b:16:04,-63
1727595871443,c8:a6:08:5b:16:04,-66
1727595871443,c8:a6:08:9b:16:01,-61
1727595871443,c8:a6:08:5b:16:01,-66
1727595871443,c8:a6:08:9b:16:00,-61
1727595871443,c8:a6:08:5b:16:00,-66
1727595871443,80:ea:96:f2:cc:77,-88
1727595871443,c8:a6:08:9a:bc:10,-76
1727595871443,c8:a6:08:5a:bb:81,-86
1727595871443,c8:a6:08:9a:bc:11,-76
1727595871443,c8:a6:08:5a:bb:80,-85
1727595871444,c8:a6:08:9a:bc:14,-76
1727595871444,c8:a6:08:5a:bc:11,-78
1727595871444,c8:a6:08:9a:bb:80,-82
1727595871444,c8:a6:08:5a:bc:10,-78
1727595871444,c8:a6:08:9a:bb:81,-82
1727595871444,60:84:bd:de:7c:67,-60
1727595871444,c8:a6:08:9a:bb:84,-82
1727595871444,c8:a6:08:5a:bb:84,-87
1727595871444,c0:25:a2:a7:2e:2b,-55
1727595871444,c0:25:a2:a7:2e:2a,-56
1727595871444,c8:a6:08:5a:fd:84,-93
1727595871444,d0:40:ef:f9:f0:9d,-95
1727595871444,60:84:bd:de:7c:60,-64
1727595871444,c8:a6:08:5a:fd:80,-92
1727595871444,c8:a6:08:5a:fd:81,-92
1727595871444,c8:a6:08:9a:b7:01,-91
1727595871444,c8:a6:08:9b:16:24,-54
1727595871444,c8:a6:08:5b:15:50,-92
1727595871444,c8:a6:08:9a:b7:00,-90
1727595871444,c8:a6:08:5b:15:51,-90
1727595871444,c0:25:a2:a9:b1:4f,-49
1727595871444,c8:a6:08:5b:16:24,-62
1727595871444,c8:a6:08:9b:15:51,-80
1727595871444,c8:a6:08:9b:15:50,-80
1727595871444,c8:a6:08:9b:16:21,-53
1727595871444,c8:a6:08:5b:16:21,-61
1727595871444,c8:a6:08:9b:16:20,-53
1727595871444,c8:a6:08:5b:16:20,-61
1727595871444,c8:a6:08:9b:15:54,-80
1727595871444,c8:a6:08:9a:b7:04,-90
1727595871444,c0:25:a2:a7:2e:1a,-72
1727595871444,c8:a6:08:5a:bc:14,-78
1727595871459,c8:a6:08:9a:fe:71,-86
1727595871459,c8:a6:08:9a:fe:70,-86
1727595871459,c8:a6:08:9a:fe:74,-86
1727595871459,84:af:ec:86:f0:70,-83
1727595871459,c8:a6:08:9a:bb:c4,-83
1727595871459,c8:a6:08:9a:bb:c1,-83
1727595871459,c8:a6:08:9a:bb:c0,-83
1727595871459,c8:a6:08:5a:bb:c0,-83
1727595871459,c8:a6:08:9b:16:04,-63
1727595871459,c8:a6:08:5b:16:04,-66
1727595871459,c8:a6:08:9b:16:01,-61
1727595871459,c8:a6:08:5b:16:01,-66
1727595871459,c8:a6:08:9b:16:00,-61
1727595871459,c8:a6:08:5b:16:00,-66
1727595871459,80:ea:96:f2:cc:77,-88
1727595871459,c8:a6:08:9a:bc:10,-76
1727595871459,c8:a6:08:5a:bb:81,-86
1727595871459,c8:a6:08:9a:bc:11,-76
1727595871459,c8:a6:08:5a:bb:80,-85
1727595871459,c8:a6:08:9a:bc:14,-76
1727595871459,c8:a6:08:5a:bc:11,-78
1727595871459,c8:a6:08:9a:bb:80,-82
1727595871459,c8:a6:08:5a:bc:10,-78
1727595871459,c8:a6:08:9a:bb:81,-82
1727595871459,60:84:bd:de:7c:67,-60
1727595871459,c8:a6:08:9a:bb:84,-82
1727595871459,c8:a6:08:5a:bb:84,-87
1727595871459,c0:25:a2:a7:2e:2b,-55
1727595871459,c0:25:a2:a7:2e:2a,-56
1727595871459,c8:a6:08:5a:fd:84,-93
1727595871459,d0:40:ef:f9:f0:9d,-95
1727595871459,60:84:bd:de:7c:60,-64
1727595871459,c8:a6:08:5a:fd:80,-92
1727595871459,c8:a6:08:5a:fd:81,-92
1727595871459,c8:a6:08:9a:b7:01,-91
1727595871459,c8:a6:08:9b:16:24,-54
1727595871459,c8:a6:08:5b:15:50,-92
1727595871459,c8:a6:08:9a:b7:00,-90
1727595871459,c8:a6:08:5b:15:51,-90
1727595871459,c0:25:a2:a9:b1:4f,-49
1727595871459,c8:a6:08:5b:16:24,-62
1727595871459,c8:a6:08:9b:15:51,-80
1727595871459,c8:a6:08:9b:15:50,-80
1727595871459,c8:a6:08:9b:16:21,-53
1727595871459,c8:a6:08:5b:16:21,-61
1727595871460,c8:a6:08:9b:16:20,-53
1727595871460,c8:a6:08:5b:16:20,-61
1727595871460,c8:a6:08:9b:15:54,-80
1727595871460,c8:a6:08:9a:b7:04,-90
1727595871460,c0:25:a2:a7:2e:1a,-72
1727595871460,c8:a6:08:5a:bc:14,-78
1727595871466,c8:a6:08:9a:fe:71,-86
1727595871466,c8:a6:08:9a:fe:70,-86
1727595871466,c8:a6:08:9a:fe:74,-86
1727595871466,84:af:ec:86:f0:70,-83
1727595871466,c8:a6:08:9a:bb:c4,-83
1727595871466,c8:a6:08:9a:bb:c1,-83
1727595871466,c8:a6:08:9a:bb:c0,-83
1727595871466,c8:a6:08:5a:bb:c0,-83
1727595871466,c8:a6:08:9b:16:04,-63
1727595871466,c8:a6:08:5b:16:04,-66
1727595871466,c8:a6:08:9b:16:01,-61
1727595871467,c8:a6:08:5b:16:01,-66
1727595871467,c8:a6:08:9b:16:00,-61
1727595871467,c8:a6:08:5b:16:00,-66
1727595871467,80:ea:96:f2:cc:77,-88
1727595871467,c8:a6:08:9a:bc:10,-76
1727595871467,c8:a6:08:5a:bb:81,-86
1727595871467,c8:a6:08:9a:bc:11,-76
1727595871467,c8:a6:08:5a:bb:80,-85
1727595871467,c8:a6:08:9a:bc:14,-76
1727595871467,c8:a6:08:5a:bc:11,-78
1727595871467,c8:a6:08:9a:bb:80,-82
1727595871467,c8:a6:08:5a:bc:10,-78
1727595871467,c8:a6:08:9a:bb:81,-82
1727595871467,60:84:bd:de:7c:67,-60
1727595871467,c8:a6:08:9a:bb:84,-82
1727595871467,c8:a6:08:5a:bb:84,-87
1727595871467,c0:25:a2:a7:2e:2b,-55
1727595871467,c0:25:a2:a7:2e:2a,-56
1727595871467,c8:a6:08:5a:fd:84,-93
1727595871467,d0:40:ef:f9:f0:9d,-95
1727595871467,60:84:bd:de:7c:60,-64
1727595871467,c8:a6:08:5a:fd:80,-92
1727595871467,c8:a6:08:5a:fd:81,-92
1727595871467,c8:a6:08:9a:b7:01,-91
1727595871467,c8:a6:08:9b:16:24,-54
1727595871467,c8:a6:08:5b:15:50,-92
1727595871467,c8:a6:08:9a:b7:00,-90
1727595871467,c8:a6:08:5b:15:51,-90
1727595871467,c0:25:a2:a9:b1:4f,-49
1727595871467,c8:a6:08:5b:16:24,-62
1727595871467,c8:a6:08:9b:15:51,-80
1727595871467,c8:a6:08:9b:15:50,-80
1727595871467,c8:a6:08:9b:16:21,-53
1727595871467,c8:a6:08:5b:16:21,-61
1727595871467,c8:a6:08:9b:16:20,-53
1727595871467,c8:a6:08:5b:16:20,-61
1727595871467,c8:a6:08:9b:15:54,-80
1727595871467,c8:a6:08:9a:b7:04,-90
1727595871467,c0:25:a2:a7:2e:1a,-72
1727595871467,c8:a6:08:5a:bc:14,-78
1727595871480,c8:a6:08:9a:fe:71,-86
1727595871480,c8:a6:08:9a:fe:70,-86
1727595871480,c8:a6:08:9a:fe:74,-86
1727595871480,84:af:ec:86:f0:70,-83
1727595871480,c8:a6:08:9a:bb:c4,-83
1727595871480,c8:a6:08:9a:bb:c1,-83
1727595871480,c8:a6:08:9a:bb:c0,-83
1727595871480,c8:a6:08:5a:bb:c0,-83
1727595871481,c8:a6:08:9b:16:04,-63
1727595871481,c8:a6:08:5b:16:04,-66
1727595871481,c8:a6:08:9b:16:01,-61
1727595871481,c8:a6:08:5b:16:01,-66
1727595871481,c8:a6:08:9b:16:00,-61
1727595871481,c8:a6:08:5b:16:00,-66
1727595871481,80:ea:96:f2:cc:77,-88
1727595871481,c8:a6:08:9a:bc:10,-76
1727595871481,c8:a6:08:5a:bb:81,-86
1727595871481,c8:a6:08:9a:bc:11,-76
1727595871481,c8:a6:08:5a:bb:80,-85
1727595871481,c8:a6:08:9a:bc:14,-76
1727595871481,c8:a6:08:5a:bc:11,-78
1727595871481,c8:a6:08:9a:bb:80,-82
1727595871481,c8:a6:08:5a:bc:10,-78
1727595871481,c8:a6:08:9a:bb:81,-82
1727595871481,60:84:bd:de:7c:67,-60
1727595871481,c8:a6:08:9a:bb:84,-82
1727595871481,c8:a6:08:5a:bb:84,-87
1727595871481,c0:25:a2:a7:2e:2b,-55
1727595871481,c0:25:a2:a7:2e:2a,-56
1727595871481,c8:a6:08:5a:fd:84,-93
1727595871481,d0:40:ef:f9:f0:9d,-95
1727595871481,60:84:bd:de:7c:60,-64
1727595871481,c8:a6:08:5a:fd:80,-92
1727595871481,c8:a6:08:5a:fd:81,-92
1727595871481,c8:a6:08:9a:b7:01,-91
1727595871481,c8:a6:08:9b:16:24,-54
1727595871481,c8:a6:08:5b:15:50,-92
1727595871481,c8:a6:08:9a:b7:00,-90
1727595871481,c8:a6:08:5b:15:51,-90
1727595871481,c0:25:a2:a9:b1:4f,-49
1727595871481,c8:a6:08:5b:16:24,-62
1727595871481,c8:a6:08:9b:15:51,-80
1727595871481,c8:a6:08:9b:15:50,-80
1727595871481,c8:a6:08:9b:16:21,-53
1727595871481,c8:a6:08:5b:16:21,-61
1727595871481,c8:a6:08:9b:16:20,-53
1727595871481,c8:a6:08:5b:16:20,-61
1727595871481,c8:a6:08:9b:15:54,-80
1727595871481,c8:a6:08:9a:b7:04,-90
1727595871481,c0:25:a2:a7:2e:1a,-72
1727595871481,c8:a6:08:5a:bc:14,-78
1727595871486,c8:a6:08:9a:fe:71,-86
1727595871486,c8:a6:08:9a:fe:70,-86
1727595871487,c8:a6:08:9a:fe:74,-86
1727595871487,84:af:ec:86:f0:70,-83
1727595871487,c8:a6:08:9a:bb:c4,-83
1727595871487,c8:a6:08:9a:bb:c1,-83
1727595871487,c8:a6:08:9a:bb:c0,-83
1727595871487,c8:a6:08:5a:bb:c0,-83
1727595871487,c8:a6:08:9b:16:04,-63
1727595871487,c8:a6:08:5b:16:04,-66
1727595871487,c8:a6:08:9b:16:01,-61
1727595871487,c8:a6:08:5b:16:01,-66
1727595871487,c8:a6:08:9b:16:00,-61
1727595871487,c8:a6:08:5b:16:00,-66
1727595871487,80:ea:96:f2:cc:77,-88
1727595871487,c8:a6:08:9a:bc:10,-76
1727595871487,c8:a6:08:5a:bb:81,-86
1727595871487,c8:a6:08:9a:bc:11,-76
1727595871487,c8:a6:08:5a:bb:80,-85
1727595871487,c8:a6:08:9a:bc:14,-76
1727595871487,c8:a6:08:5a:bc:11,-78
1727595871487,c8:a6:08:9a:bb:80,-82
1727595871487,c8:a6:08:5a:bc:10,-78
1727595871487,c8:a6:08:9a:bb:81,-82
1727595871487,60:84:bd:de:7c:67,-60
1727595871487,c8:a6:08:9a:bb:84,-82
1727595871487,c8:a6:08:5a:bb:84,-87
1727595871487,c0:25:a2:a7:2e:2b,-55
1727595871487,c0:25:a2:a7:2e:2a,-56
1727595871487,c8:a6:08:5a:fd:84,-93
1727595871487,d0:40:ef:f9:f0:9d,-95
1727595871487,60:84:bd:de:7c:60,-64
1727595871487,c8:a6:08:5a:fd:80,-92
1727595871487,c8:a6:08:5a:fd:81,-92
1727595871487,c8:a6:08:9a:b7:01,-91
1727595871487,c8:a6:08:9b:16:24,-54
1727595871487,c8:a6:08:5b:15:50,-92
1727595871487,c8:a6:08:9a:b7:00,-90
1727595871487,c8:a6:08:5b:15:51,-90
1727595871487,c0:25:a2:a9:b1:4f,-49
1727595871487,c8:a6:08:5b:16:24,-62
1727595871487,c8:a6:08:9b:15:51,-80
1727595871487,c8:a6:08:9b:15:50,-80
1727595871487,c8:a6:08:9b:16:21,-53
1727595871487,c8:a6:08:5b:16:21,-61
1727595871487,c8:a6:08:9b:16:20,-53
1727595871487,c8:a6:08:5b:16:20,-61
1727595871487,c8:a6:08:9b:15:54,-80
1727595871487,c8:a6:08:9a:b7:04,-90
1727595871487,c0:25:a2:a7:2e:1a,-72
1727595871487,c8:a6:08:5a:bc:14,-78
1727595871499,c8:a6:08:9a:fe:71,-86
1727595871499,c8:a6:08:9a:fe:70,-86
1727595871499,c8:a6:08:9a:fe:74,-86
1727595871499,84:af:ec:86:f0:70,-83
1727595871499,c8:a6:08:9a:bb:c4,-83
1727595871499,c8:a6:08:9a:bb:c1,-83
1727595871499,c8:a6:08:9a:bb:c0,-83
1727595871499,c8:a6:08:5a:bb:c0,-83
1727595871499,c8:a6:08:9b:16:04,-63
1727595871499,c8:a6:08:5b:16:04,-66
1727595871499,c8:a6:08:9b:16:01,-61
1727595871499,c8:a6:08:5b:16:01,-66
1727595871499,c8:a6:08:9b:16:00,-61
1727595871499,c8:a6:08:5b:16:00,-66
1727595871499,80:ea:96:f2:cc:77,-88
1727595871499,c8:a6:08:9a:bc:10,-76
1727595871499,c8:a6:08:5a:bb:81,-86
1727595871499,c8:a6:08:9a:bc:11,-76
1727595871499,c8:a6:08:5a:bb:80,-85
1727595871499,c8:a6:08:9a:bc:14,-76
1727595871499,c8:a6:08:5a:bc:11,-78
1727595871499,c8:a6:08:9a:bb:80,-82
1727595871499,c8:a6:08:5a:bc:10,-78
1727595871499,c8:a6:08:9a:bb:81,-82
1727595871499,60:84:bd:de:7c:67,-60
1727595871499,c8:a6:08:9a:bb:84,-82
1727595871499,c8:a6:08:5a:bb:84,-87
1727595871499,c0:25:a2:a7:2e:2b,-55
1727595871499,c0:25:a2:a7:2e:2a,-56
1727595871499,c8:a6:08:5a:fd:84,-93
1727595871499,d0:40:ef:f9:f0:9d,-95
1727595871499,60:84:bd:de:7c:60,-64
1727595871500,c8:a6:08:5a:fd:80,-92
1727595871500,c8:a6:08:5a:fd:81,-92
1727595871500,c8:a6:08:9a:b7:01,-91
1727595871500,c8:a6:08:9b:16:24,-54
1727595871500,c8:a6:08:5b:15:50,-92
1727595871500,c8:a6:08:9a:b7:00,-90
1727595871500,c8:a6:08:5b:15:51,-90
1727595871500,c0:25:a2:a9:b1:4f,-49
1727595871500,c8:a6:08:5b:16:24,-62
1727595871500,c8:a6:08:9b:15:51,-80
1727595871500,c8:a6:08:9b:15:50,-80
1727595871500,c8:a6:08:9b:16:21,-53
1727595871500,c8:a6:08:5b:16:21,-61
1727595871500,c8:a6:08:9b:16:20,-53
1727595871500,c8:a6:08:5b:16:20,-61
1727595871500,c8:a6:08:9b:15:54,-80
1727595871500,c8:a6:08:9a:b7:04,-90
1727595871500,c0:25:a2:a7:2e:1a,-72
1727595871500,c8:a6:08:5a:bc:14,-78
1727595871507,c8:a6:08:9a:fe:71,-86
1727595871507,c8:a6:08:9a:fe:70,-86
1727595871507,c8:a6:08:9a:fe:74,-86
1727595871507,84:af:ec:86:f0:70,-83
